,Date,META,TSLA,XOM,BAC,UNH,BA,AAPL
63,2022-09-26,190.90898,370.1369,91.6111,43.327606,509.17468,142.3162,169.57361
64,2022-09-27,192.44809,381.37836,92.65404,47.673508,511.77197,145.3942,170.91891
65,2022-09-28,194.39635,370.85855,94.25401,47.32498,510.32697,149.72255,170.49695
66,2022-09-29,180.19994,366.0561,93.68338,46.89256,519.8771,139.28255,171.8936
67,2022-09-30,174.21346,363.17957,95.10587,47.863518,511.74014,137.15489,172.55017
68,2022-10-03,128.76268,359.21722,96.13485,47.078766,512.19293,134.2807,170.80669
69,2022-10-04,166.11644,359.6765,93.9162,44.890244,513.625,141.77365,172.58531
70,2022-10-05,169.7702,369.13226,91.542145,47.889797,519.345,138.2439,172.57715
71,2022-10-06,143.79048,350.52338,93.8202,47.79211,516.82,138.22034,172.61862
72,2022-10-07,169.5847,351.21005,95.37419,47.82616,518.20703,143.72345,174.18314
73,2022-10-10,184.36597,353.6681,96.986404,48.342888,511.91742,136.57864,175.38493
74,2022-10-11,169.09299,344.39966,97.197754,48.192245,513.2855,131.25319,173.3058
75,2022-10-12,190.10019,343.29718,95.89982,50.879078,510.66187,140.60672,172.32861
76,2022-10-13,174.81024,348.09143,96.533676,47.895943,507.29236,129.34537,173.40045
77,2022-10-14,167.0246,348.9549,95.37909,48.294895,511.27618,129.25656,173.12543
78,2022-10-17,163.06958,334.6266,97.07977,49.397507,517.88965,141.80516,174.91866
79,2022-10-18,159.20215,333.17987,98.861435,48.552387,509.81012,130.29424,173.45941
80,2022-10-19,177.67146,327.76837,98.801926,47.736443,506.93097,134.82387,173.72879
81,2022-10-20,181.91895,328.87418,98.293625,48.99514,515.73804,124.872505,176.83698
82,2022-10-21,167.33052,324.75586,97.618164,49.126476,508.28427,127.979866,175.29279
83,2022-10-24,183.56532,309.56152,99.79411,51.226357,510.6815,129.4801,173.84515
84,2022-10-25,156.59427,313.56006,99.89133,52.01905,505.71042,124.810265,174.73563
85,2022-10-26,133.90839,303.75543,99.726036,50.49738,499.18903,125.32197,175.67366
86,2022-10-27,147.63622,308.42657,98.823135,49.38449,503.36166,114.96,177.70682
87,2022-10-28,164.20909,307.8258,98.93456,49.956036,508.92273,129.37274,175.3364
88,2022-10-31,131.46196,307.62085,96.67851,49.140556,500.34338,120.86686,176.9631
89,2022-11-01,143.26929,296.88806,97.42369,50.573425,501.9249,126.175026,175.19627
